,base,parts_of_speech,n_occurrences
1109,nazywać,czas,233
1110,filsem,?,1
1111,mały,przym,179
1112,nominał,rzecz,107
1113,miejscowe,rzecz,10
1114,pieniądz,rzecz,89
1115,=,?,368
1116,Follis,?,1
1117,Zwaricz,?,1
1118,Numizmaticzeskij,?,1
1119,słowar,?,1
1120,’,?,389
1121,Lwow,?,1
1122,1980,rzecz,252
1123,Reppa,?,2
1124,Das,?,28
1125,grosse,?,3
1126,Münzen,?,5
1127,Lexikon,?,5
1128,Bronisław,rzecz,27
1129,Jan,rzecz,348
1130,Seichter,?,1
1131,ur,?,866
1132,1902,rzecz,23
1133,Krak,rzecz,305
1134,zmarł(a),?,485
1135,zmarły,?,506
1136,wrzesień,rzecz,671
1137,1965,rzecz,109
1138,Opole,rzecz,13
1139,opole,rzecz,14
1140,piłkarz,rzecz,102
1141,pomocnik,rzecz,39
1142,pierwszoligowy,przym,3
1143,Polonia,rzecz,32
1144,Warszawa,rzecz,999
1145,warszawa,rzecz,999
1146,reprezentacja,rzecz,154
1147,debiutować,czas,24
1148,rozegrana,rzecz,82
1149,1928,rzecz,126
1150,spotkanie,rzecz,160
1151,zremisować,czas,14
1152,ostatni,rzecz,411
1153,zagrać,czas,59
1154,1930,rzecz,116
1155,SOPHIE,?,1
1156,Spectrographe,?,1
1157,pour,?,3
1158,Observation,?,3
1159,des,rzecz,54
1160,Phénomènes,?,1
1161,Intérieurs,?,1
1162,stellaires,?,1
1163,eta,rzecz,32
1164,Exoplanètes,?,1
1165,rozdzielczość,rzecz,72
1166,spektrograf,rzecz,5
1167,teleskop,rzecz,34
1168,zwierciadlany,przym,4
1169,średnica,rzecz,118
1170,93,rzecz,37
1171,&,?,858
1172,nbsp,?,683
1173,metr,?,1106
1174,obserwatorium,rzecz,44
1175,astronomiczny,przym,15
1176,Observatoire,?,1
1177,de,rzecz,337
1178,Haute,?,1
1179,Provence,?,3
1180,pomiar,rzecz,91
1181,astrosejsmologicznych,?,1
1182,wykrywać,czas,28
1183,planet,rzecz,127
1184,pozasłoneczny,przym,5
1185,użycie,rzecz,187
1186,radialny,przym,1
1187,spektroskopia,rzecz,14
1188,dopplerowski,przym,4
1189,prawie,?,116
1190,małżeństwo,rzecz,72
1191,definiować,czas,10
1192,egalitarny,przym,1
1193,mężczyzna,rzecz,154
1194,kobieta,rzecz,245
1195,wola,rzecz,45
1196,sformalizować,czas,3
1197,swoisty,przym,20
1198,dwustronny,przym,11
1199,czynność,rzecz,66
1200,prawny,przym,161
1201,zbliżony,przym,54
1202,um,rzecz,19
1203,słowo,rzecz,196
1204,rozumieć,czas,18
1205,usankcjonować,czas,3
1206,prawnie,przys,5
1207,według,?,411
1208,prawodawstwo,rzecz,5
1209,zawarcie,rzecz,28
1210,złożenie,rzecz,26
1211,przeciwny,przym,29
1212,płeć,rzecz,22
1213,wolne,rzecz,60
1214,zgodny,przym,45
1215,oświadczenie,rzecz,16
1216,przysięga,rzecz,20
1217,małżeński,przym,25
1218,wstąpić,czas,124
1219,czynić,czas,45
1220,kierownik,rzecz,132
1221,urząd,rzecz,128
1222,cywilny,przym,129
1223,ewentualnie,?,14
1224,duchowny,rzecz,68
1225,zawierać,czas,431
1226,podlegać,czas,84
1227,prawo,rzecz,178
1228,wewnętrzny,rzecz,129
1229,wybrany,rzecz,68
1230,wyznaniowy,przym,8
1231,oświadczyć,czas,13
1232,jednoczesny,przym,20
1233,sporządzić,czas,28
1234,następnie,przys,571
1235,akt,rzecz,117
1236,kodeks,rzecz,50
1237,rodzinny,przym,108
1238,opiekuńczy,przym,12
1239,dolny,przym,125
1240,granica,rzecz,174
1241,małżonek,rzecz,47
1242,małżonkowie,rzecz,27
1243,jednakże,?,103
1244,ważny,przym,238
1245,sąd,rzecz,155
1246,zezwolić,czas,11
1247,prawa,rzecz,266
1248,zgodnie,przys,146
1249,art,?,75
1250,23,rzecz,325
1251,maja,rzecz,235
1252,równe,rzecz,29
1253,poprzez,?,265
1254,zobowiązywać,czas,6
1255,pożycie,rzecz,6
1256,wzajemny,przym,14
1257,cent,?,61
1258,współdziałanie,rzecz,7
1259,dobra,rzecz,79
1260,dobro,rzecz,93
1261,rodzina,rzecz,390
1262,założyć,czas,154
1263,k,?,271
1264,konieczność,rzecz,53
1265,rozstrzygać,czas,10
1266,istotny,przym,73
1267,pomiędzy,?,233
1268,porozumienie,rzecz,43
1269,każdy,przym,504
1270,rozstrzygnięcie,rzecz,13
1271,spór,rzecz,32
1272,powinowactwo,rzecz,19
1273,więź,rzecz,10
1274,jak,rzecz,1499
1275,krewna,rzecz,14
1276,trwać,czas,85
1277,mimo,przys,194
1278,ustać,czas,8
1279,wyróżniać,czas,68
1280,niemajątkowy,przym,1
1281,wierność,rzecz,13
1282,majątkowy,przym,25
1283,przyczyniać,czas,10
1284,zaspokajać,czas,7
1285,potrzeb,rzecz,53
1286,duchowy,przym,28
1287,gospodarczy,przym,189
1288,łączność,rzecz,73
1289,warunkować,czas,3
1290,urzeczywistnić,czas,7
1291,treść,rzecz,55
1292,przejaw,rzecz,15
1293,zamieszkanie,rzecz,20
1294,lojalność,rzecz,12
1295,uwzględnienie,rzecz,16
1296,słuszny,przym,3
1297,interes,rzecz,26
1298,uczuć,czas,6
1299,strona,rzecz,623
1300,poszanowanie,rzecz,4
1301,itd,?,25
1302,tylko,?,657
1303,materialny,przym,12
1304,moralny,przym,16
1305,poczynania,rzecz,5
1306,poczynanie,rzecz,5
1307,przezwyciężać,czas,2
1308,przejawiać,czas,12
1309,szczególnie,przys,133
1310,silnie,przys,71
1311,na_przykład,?,589
1312,wypadek,rzecz,83
1313,dotyczeć,czas,50
1314,dopuszczać,czas,23
1315,zdrada,rzecz,10
1316,łam,rzecz,21
1317,doprowadzić,czas,95
1318,rozwód,rzecz,6
1319,uznany,przym,61
1320,winny,rzecz,10
1321,rozkład,rzecz,29
1322,siła,rzecz,501
1323,możliwości,rzecz,116
1324,zarobkowy,przym,6
1325,szczególność,rzecz,44
1326,przyczynić,czas,37
1327,wychowywać,czas,21
1328,dziecko,rzecz,416
1329,współpraca,rzecz,115
1330,gospodarstwo,rzecz,31
1331,domowy,przym,116
1332,model,rzecz,446
1333,jedno,?,77
1334,zarabiać,czas,14
1335,iż,?,247
1336,musza,rzecz,50
1337,wspólnie,przys,285
1338,zwykły,przym,54
1339,osobno,przys,10
1340,zobowiązanie,rzecz,52
1341,zaciągnąć,czas,9
1342,obciążać,czas,8
1343,solidarnie,przys,1
1344,obój,rzecz,26
1345,nazwisko,rzecz,109
1346,zdecydować,czas,88
1347,jaki,przym,150
1348,stosowny,przym,11
1349,składany,przym,14
1350,USC,rzecz,1
1351,bezpośrednio,przys,93
1352,zaświadczenie,rzecz,9
1353,mowa,rzecz,43
1354,41,rzecz,99
1355,§,?,16
1356,kombinacja,rzecz,50
1357,przedstawiać,czas,201
1358,następująco,przys,16
1359,dotychczasowy,przym,100
1360,osobny,przym,31
1361,zachować,czas,153
1362,swoje,rzecz,768
1363,konkretny,przym,36
1364,dużo,przys,237
1365,więcej,przys,152
1366,człon,rzecz,26
1367,przepis,rzecz,107
1368,stosunek,rzecz,171
1369,prawno,?,2
1370,łączyć,czas,118
1371,unieważnienie,rzecz,1
1372,Linia,rzecz,44
1373,pokrewieństwo,rzecz,10
1374,14,rzecz,411
1375,przeszkoda,rzecz,25
1376,udzielić,czas,48
1377,zgoda,rzecz,51
1378,taki,przym,638
1379,tak,przys,411
1380,niegdyś,przys,22
1381,tradycyjnie,przys,23
1382,ustalić,czas,78
1383,współczesny,rzecz,107
1384,nazewnictwo,rzecz,12
1385,ulec,czas,67
1386,znaczny,przym,128
1387,uproszczenie,rzecz,5
1388,przykład,rzecz,172
1389,teścia,rzecz,2
1390,teściowa,rzecz,4
1391,oznaczać,czas,252
1392,rodzic,rzecz,97
1393,rodzice,rzecz,82
1394,współmałżonek,rzecz,3
1395,szwagier,rzecz,3
1396,brat,rzecz,123
1397,albo,?,160
1398,mąż,rzecz,89
1399,siostra,rzecz,96
1400,II,rzecz,1141
1401,boczny,przym,86
1402,szwagierek,rzecz,1
1403,bratowa,rzecz,1
1404,żona,rzecz,165
1405,między,?,386
1406,natomiast,?,359
1407,powinowata,rzecz,1
1408,żargon,rzecz,2
1409,prawniczy,przym,21
1410,relacja,rzecz,53
1411,zimne,rzecz,13
1412,choć,?,157
1413,tutaj,przys,36
1414,rozumienie,rzecz,12
1415,przesłanka,rzecz,11
1416,osobisty,przym,88
1417,stawić,czas,6
1418,udzielać,czas,43
1419,ślub,rzecz,39
1420,czynnik,rzecz,98
1421,urzędowy,przym,21
1422,ubezwłasnowolnić,czas,3
1423,zaburzenia,rzecz,92
1424,zaburzenie,rzecz,105
1425,psychiczny,rzecz,30
1426,niepełnosprawność,rzecz,4
1427,intelektualny,przym,11
1428,bigamia,rzecz,1
1429,adopcja,rzecz,2
1430,konkordat,rzecz,1
1431,stolica,rzecz,86
1432,apostolski,przym,27
1433,rzeczpospolita,rzecz,109
1434,umożliwiać,czas,140
1435,ta,?,304
1436,wywoływać,czas,78
1437,skutek,rzecz,167
1438,cywilnoprawny,przym,4
1439,uprawnienie,rzecz,25
1440,przysługiwać,czas,17
1441,poinformować,czas,27
1442,nupturient,rzecz,4
1443,prawy,przym,82
1444,dostarczyć,czas,91
1445,stwierdzać,czas,29
1446,okoliczność,rzecz,38
1447,wyłączać,czas,7
1448,wystawić,czas,59
1449,spełnić,czas,29
1450,łącznie,przys,95
1451,wszystek,przym,271
1452,poniższy,przym,18
1453,wymaganie,rzecz,48
1454,wpis,rzecz,9
1455,urodzenie,rzecz,22
1456,faktyczny,przym,13
1457,chwila,rzecz,127
1458,właściwy,przym,76
1459,zostawać,czas,192
1460,dopóki,?,8
1461,muszy,przym,130
1462,chyba,?,14
1463,nastąpić,czas,127
1464,zdarzenie,rzecz,42
1465,kwalifikowany,przym,9
1466,najwyższy,rzecz,159
1467,wyrok,rzecz,50
1468,określić,czas,34
1469,dochować,czas,2
1470,termin,rzecz,88
1471,przekazać,czas,126
1472,dokument,rzecz,102
1473,odmowa,rzecz,9
1474,„,?,1451
1475,zewnątrz,przys,22
1476,można,?,450
1477,przewidzieć,czas,45
1478,następstwo,rzecz,21
1479,zapobiec,czas,17
1480,dołożyć,czas,4
1481,staranność,rzecz,1
1482,nadanie,rzecz,25
1483,przesyłka,rzecz,4
1484,polecony,przym,3
1485,pocztowy,przym,11
1486,publiczny,przym,215
1487,poczta,rzecz,6
1488,janosikowe,rzecz,6
1489,wpłata,rzecz,15
1490,budżet,rzecz,50
1491,państwo,rzecz,394
1492,dokonywać,czas,73
1493,dochód,rzecz,193
1494,jednostka,rzecz,511
1495,samorząd,rzecz,30
1496,terytorialny,przym,18
1497,późn,?,6
1498,podatek,rzecz,497
1499,przekraczać,czas,66
1500,wskaźnik,rzecz,38
1501,zasilać,czas,16
1502,rezerwa,rzecz,82
1503,celowy,przym,14
1504,finansować,czas,56
1505,subwencja,rzecz,8
1506,wysokość,rzecz,310
1507,obliczać,czas,20
1508,podatkowy,przym,304
1509,sprzed,?,14
1510,bieżący,przym,34
1511,budżetowy,przym,19
1512,pojawienie,rzecz,29
1513,opinia,rzecz,59
1514,wskazujący,przym,12
1515,niezgodność,rzecz,7
1516,konstytucja,rzecz,40
1517,2010,rzecz,503
1518,zainicjować,czas,12
1519,akcja,rzecz,259
1520,warszawski,przym,156
1521,przedsiębiorca,rzecz,21
1522,Rafał,rzecz,44
1523,Szczepański,rzecz,1
1524,zorganizować,czas,83
1525,zbiórka,rzecz,6
1526,podpis,rzecz,23
1527,projekt,rzecz,398
1528,zmieniać,czas,107
1529,naliczać,czas,6
1530,zasada,rzecz,263
1531,biedny,przym,10
1532,dzięki,?,343
1533,zebranie,rzecz,19
1534,150,rzecz,79
1535,tys,?,166
1536,sierpień,rzecz,509
1537,2011,rzecz,434
1538,obywatelski,przym,26
1539,Marszałek,rzecz,19
1540,marszałek,rzecz,52
1541,sejm,rzecz,131
1542,Grzegorz,rzecz,77
1543,Schetyny,?,1
1544,opracować,czas,149
1545,podkomisja,rzecz,3
1546,kompromisowy,przym,3
1547,negatywnie,przys,6
1548,finanse,rzecz,54
1549,nad,?,648
1550,nim,?,351
1551,zamrozić,czas,3
1552,2013,rzecz,355
1553,oddać,czas,52
1554,tytuł,rzecz,525
1555,793,rzecz,1
1556,milion,?,146
1557,województwo,rzecz,80
1558,mazowiecki,przym,10
1559,661,rzecz,4
1560,musieć,czas,91
1561,wnieść,czas,22
1562,163,rzecz,19
1563,gmin,rzecz,57
1564,średnia,rzecz,174
1565,wyniosły,przym,25
1566,powiat,rzecz,56
1567,17,rzecz,332
1568,miast,?,31
1569,33,rzecz,121
1570,solidarnościowy,przym,1
1571,tekst,rzecz,235
1572,ujednolicić,czas,10
1573,kancelaria,rzecz,24
1574,Katzmanna,?,3
1575,oficjalny,przym,131
1576,oryginalny,przym,81
1577,rozwiązanie,rzecz,103
1578,kwestia,rzecz,47
1579,żydowski,przym,165
1580,dystrykt,rzecz,22
1581,Galicja,rzecz,22
1582,1943,rzecz,226
1583,SS,rzecz,166
1584,Gruppenführera,?,1
1585,Fritz,rzecz,14
1586,dowódca,rzecz,627
1587,policja,rzecz,67
1588,1941,rzecz,209
1589,generalny,przym,223
1590,gubernatorstwo,rzecz,5
1591,Wilhelm,rzecz,65
1592,Krügera,?,1
1593,opisywać,czas,68
1594,przebieg,rzecz,101
1595,»,?,24
1596,Aktion,?,2
1597,Reinhardt,?,1
1598,«,?,24
1599,eksterminacyjny,przym,2
1600,Żyd,rzecz,108
1601,żyd,rzecz,114
1602,teren,rzecz,337
1603,okupować,czas,18
1604,wojskowo,przys,8
1605,III,rzecz,457
1606,Rzesza,rzecz,83
1607,rzesza,rzecz,88
1608,obok,przys,120
1609,Stroopa,?,9
1610,źródło,rzecz,299
1611,dokumentować,czas,6
1612,eksterminacja,rzecz,12
1613,wojna,rzecz,1098
1614,światowy,przym,575
1615,1948,rzecz,143
1616,spocząć,czas,5
1617,archiwum,rzecz,27
1618,badanie,rzecz,356
1619,zbrodnia,rzecz,77
1620,hitlerowski,przym,31
1621,obecnie,przys,397
1622,instytut,rzecz,215
1623,pamięć,rzecz,339
1624,narodowy,przym,395
1625,zapisany,przym,20
1626,pismo,rzecz,110
1627,maszynowy,przym,136
1628,dołączyć,czas,63
1629,153,rzecz,10
1630,szczegółowo,przys,13
1631,Reinhard,?,5
1632,wydanie,rzecz,206
1633,niemiecki,przym,644
1634,ostatnie,rzecz,87
1635,50,rzecz,344
1636,ocenzurować,czas,2
1637,komunista,rzecz,21
1638,publikacja,rzecz,118
1639,pełny,przym,160
1640,dopiero,?,178
1641,2009,rzecz,578
1642,Katzmann,?,2
1643,informować,czas,16
1644,27,rzecz,269
1645,zamordować,czas,56
1646,434,rzecz,10
1647,329,rzecz,2
1648,100,rzecz,283
1649,Lwów,rzecz,47
1650,EAN,?,1
1651,9788391598306,rzecz,1
1652,ISBN,rzecz,671
1653,83,rzecz,468
1654,9159,rzecz,1
1655,830,rzecz,10
1656,6,rzecz,939
1657,Dariusz,rzecz,27
1658,Libionka,?,1
1659,REINHARDT,?,1
1660,zagłada,rzecz,28
1661,89078,rzecz,1
1662,68,rzecz,53
1663,Machajrodony,?,3
1664,wymarły,przym,11
1665,podrodzina,rzecz,11
1666,kotowate,rzecz,24
1667,żyjąca,rzecz,36
1668,połowa,rzecz,218
1669,trzeciorzęd,rzecz,3
1670,plejstocen,rzecz,11
1671,charakterystyczny,przym,152
1672,zwierzę,rzecz,175
1673,duha,rzecz,138
1674,szablasto,przys,1
1675,zakończony,przym,65
1676,górny,przym,149
1677,kieł,rzecz,10
1678,tygrys,rzecz,37
1679,szablastozębny,przym,6
1680,uzębienie,rzecz,4
1681,zanik,rzecz,21
1682,redukcja,rzecz,35
1683,trzonowiec,rzecz,1
1684,poza,?,222
1685,kąt,rzecz,80
1686,rozwarcie,rzecz,2
1687,żuchwa,rzecz,4
1688,znana,rzecz,307
1689,smilodon,?,1
1690,następujący,przym,120
1691,plemię,rzecz,21
1692,Metailurini,?,3
1693,Homotheriini,?,3
1694,Smilodontini,?,3
1695,analiza,rzecz,74
1696,filogenetyczny,przym,2
1697,Christiansena,?,1
1698,potwierdzić,czas,80
1699,podział,rzecz,96
1700,Machairodontinae,?,2
1701,wynikać,czas,106
1702,Megantereon,?,1
1703,Smilodon,?,2
1704,zaliczać,czas,88
1705,Amphimachairodus,?,1
1706,Homotherium,?,1
1707,Xenosmilus,?,2
1708,blisko,przys,80
1709,spokrewnić,czas,16
1710,klad,?,3
1711,Eumachairodontia,?,1
1712,machajrodony,?,2
1713,Promegantereon,?,1
1714,Machairodus,?,1
1715,Nimravides,?,1
1716,Dinofelis,?,12
1717,Metailurus,?,1
1718,bazalnymi,?,1
1719,przedstawiciel,rzecz,85
1720,kladu,?,4
1721,dziać,czas,36
1722,sztyletozębne,?,1
1723,Sztyletozębne,?,1
1724,długi,przym,212
1725,wąski,przym,42
1726,ogół,rzecz,87
1727,krępy,przym,2
1728,budowa,rzecz,328
1729,gruby,przym,14
1730,reguła,rzecz,67
1731,giętki,przym,5
1732,ciało,rzecz,216
1733,kończyna,rzecz,23
1734,wyjątek,rzecz,107
1735,zarówno,?,180
1736,masywny,przym,16
1737,niczym,?,20
1738,sztyletozębnych,?,1
1739,grube,rzecz,5
1740,machajrodonów,?,2
1741,staw,rzecz,74
1742,szczękowy,przym,2
1743,pozycja,rzecz,308
1744,pionowy,przym,44
1745,kot,rzecz,411
1746,wprowadzać,czas,73
1747,błąd,rzecz,50
1748,dowód,rzecz,53
1749,podobnie,przys,161
1750,umaścić,czas,3
1751,pewno,przys,13
1752,żyła,rzecz,57
1753,polować,czas,40
1754,DNA,rzecz,18
1755,przedstawić,czas,110
1756,wyjaśnić,czas,31
1757,pochodzenie,rzecz,95
1758,dowodzić,czas,128
1759,oddzielić,czas,10
1760,przodek,rzecz,30
1761,gatunek,rzecz,315
1762,życie,rzecz,549
1763,uważać,czas,224
1764,epoka,rzecz,42
1765,lodowcowy,przym,6
1766,śnieżny,przym,57
1767,zmagać,czas,4
1768,ciepły,przym,27
1769,klimat,rzecz,42
1770,miocen,rzecz,4
1771,ulegać,czas,91
1772,dywergencja,rzecz,1
1773,stepowy,przym,5
1774,000,rzecz,285
1775,temu,?,94
1776,technika,rzecz,127
1777,polowanie,rzecz,48
1778,Metody,rzecz,7
1779,wciąż,przys,45
1780,jednoznacznie,przys,15
1781,sądzić,czas,22
1782,pchnięcie,rzecz,3
1783,opadać,czas,35
1784,szeroko,przys,56
1785,szczęka,rzecz,4
1786,wbijać,czas,6
1787,zaczepiać,czas,2
1788,prawdopodobny,przym,27
1789,kruchość,rzecz,8
1790,zwłaszcza,?,100
1791,zmagania,rzecz,13
1792,zmaganie,rzecz,14
1793,zwierzyna,rzecz,4
1794,naukowiec,rzecz,73
1795,sugerować,czas,37
1796,atakować,czas,71
1797,czekać,czas,22
1798,wykrwawić,czas,2
1799,chociaż,?,75
1800,dość,?,104
1801,atak,rzecz,215
1802,zaciskać,czas,2
1803,szczęk,rzecz,5
1804,tchawica,rzecz,2
1805,przecinać,czas,28
1806,tętnica,rzecz,21
1807,mastodont,rzecz,1
1808,segment,rzecz,26
1809,klasa,rzecz,302
1810,małolitrażowy,przym,1
1811,samochód,rzecz,498
1812,osobowy,rzecz,107
1813,grupować,czas,6
1814,ultrakompaktowy,przym,1
1815,nieco,przys,86
1816,spełniać,czas,56
1817,kryterium,rzecz,30
1818,zaliczenie,rzecz,4
1819,typowy,przym,101
1820,kompaktowy,przym,12
1821,autosegment,rzecz,1
1822,subkompaktowy,przym,3
1823,pojazd,rzecz,273
1824,jazda,rzecz,88
1825,miasto,rzecz,500
1826,miara,rzecz,68
1827,wygodny,przym,7
1828,tras,rzecz,74
1829,zwykle,przys,164
1830,bagażnik,rzecz,5
1831,przewozić,czas,18
1832,bagaż,rzecz,4
1833,tylny,przym,112
1834,siedzenie,rzecz,7
1835,gambit,rzecz,20
1836,Blumenfelda,?,5
1837,otwarcie,przys,55
1838,szachowy,przym,206
1839,oznaczony,przym,97
1840,symbol,rzecz,116
1841,Eco,rzecz,1
1842,E10,?,2
1843,posunięcie,rzecz,19
1844,d4,?,2
1845,Sf6,?,1
1846,c4,?,1
1847,e6,?,4
1848,Sf3,?,4
1849,c5,?,1
1850,d5,?,4
1851,b5,?,2
1852,!,?,235
1853,?,?,211
1854,wyjściowy,przym,15
1855,przypominać,czas,102
1856,więc,?,157
1857,włączyć,czas,67
1858,wołżański,przym,2
1859,ile,przys,31
1860,czarna,rzecz,145
1861,dążyć,czas,24
1862,ciężkofigurowy,przym,2
1863,kontrgra,rzecz,1
1864,skrzydło,rzecz,174
1865,hetmański,przym,2
1866,tyle,przys,149
1867,idea,rzecz,57
1868,zajęcie,rzecz,70
1869,pion,rzecz,27
1870,centrum,rzecz,202
1871,ruch,rzecz,288
1872,D,rzecz,208
1873,f,?,34
1874,szansa,rzecz,45
1875,przewaga,rzecz,57
1876,początek,rzecz,413
1877,partia,rzecz,324
1878,grać,czas,146
1879,debiut,rzecz,41
1880,Tarrasch,?,1
1881,Alechin,?,5
1882,Pieszczany,?,1
1883,1922,rzecz,109
1884,bieg,rzecz,271
1885,czas,rzecz,1503
1886,wykazać,czas,62
1887,Gg5,?,1
1888,biały,rzecz,230
1889,turniej,rzecz,436
1890,stosunkowo,przys,73
1891,zamiast,?,82
1892,e,?,350
1893,przechodzić,czas,69
1894,obrona,rzecz,185
1895,Benon,rzecz,1
1896,teoretyk,rzecz,15
1897,Benjamina,?,2
1898,ubiegły,przym,17
1899,poświęcić,czas,36
1900,opracowanie,rzecz,107
1901,teoretyczny,przym,31
1902,wybrana,rzecz,84
1903,przewoźnik,rzecz,3
1904,Malcolm,?,4
1905,Pein,?,1
1906,The,?,1299
1907,Blumenfeld,?,2
1908,Pergamon,rzecz,1
1909,Chess,?,12
1910,0,rzecz,765
1911,08,rzecz,36
1912,037132,rzecz,1
1913,Jerzy,rzecz,183
1914,Konikowski,?,2
1915,Aufl,?,1
1916,Ed,rzecz,26
1917,Mädler,?,1
1918,im,?,427
1919,Rau,?,1
1920,Verl,?,2
1921,Düsseldorf,?,1
1922,7919,rzecz,1
1923,0328,rzecz,1
1924,Michał,rzecz,101
1925,Władysław,rzecz,104
1926,Pakosz,rzecz,5
1927,1888,rzecz,25
1928,Lew,rzecz,190
1929,1938,rzecz,208
1930,generał,rzecz,258
1931,brygada,rzecz,237
1932,wojska,rzecz,239
1933,biografia,rzecz,152
1934,urodzić,czas,163
1935,Antoni,rzecz,73
1936,Kornelia,rzecz,2
1937,mielnicki,przym,1
1938,1910,rzecz,51
1939,uczeń,rzecz,130
1940,ośmioklasowy,przym,1
1941,gimnazjum,rzecz,88
1942,Brzeżanach,?,3
1943,1907,rzecz,49
1944,uczęszczać,czas,43
1945,razem,przys,240
1946,Plato,rzecz,3
1947,Platon,rzecz,4
1948,bałaban,rzecz,2
1949,późny,przym,200
1950,żandarmeria,rzecz,10
1951,wojskowy,rzecz,599
1952,1914,rzecz,110
1953,studiować,czas,133
1954,wydział,rzecz,267
1955,przyrodniczy,przym,17
1956,Lwowskie,rzecz,14
1957,działać,czas,244
1958,walka,rzecz,411
1959,Strzelecki,rzecz,20
1960,Strzelce,rzecz,9
1961,1917,rzecz,162
1962,walczyć,czas,155
1963,legion,rzecz,48
1964,oficer,rzecz,276
1965,pułk,rzecz,648
1966,piechota,rzecz,267
1967,Legionowo,rzecz,67
1968,pluton,rzecz,147
1969,kompania,rzecz,171
1970,19,rzecz,358
1971,kryzys,rzecz,35
1972,przysięgowy,przym,8
1973,wcielony,przym,24
1974,cesarski,przym,50
1975,królewski,przym,140
1976,armia,rzecz,533
1977,1918,rzecz,247
1978,komendant,rzecz,92
1979,organizacja,rzecz,283
1980,zatwierdzenie,rzecz,6
1981,porucznik,rzecz,56
1982,przydzielić,czas,59
1983,dowództwo,rzecz,206
1984,internowany,rzecz,17
1985,Ukrainiec,rzecz,8
1986,28,rzecz,314
1987,maj,rzecz,545
1988,1919,rzecz,180
1989,zwolnienie,rzecz,42
1990,internować,czas,5
1991,służba,rzecz,533
1992,batalion,rzecz,186
1993,1920,rzecz,190
1994,zatwierdzić,czas,42
1995,major,rzecz,78
1996,zweryfikować,czas,22
1997,podpułkownik,rzecz,38
1998,styczeń,rzecz,578
1999,1923,rzecz,107
2000,Łomża,rzecz,7
2001,1924,rzecz,146
2002,awansować,czas,119
2003,pułkownik,rzecz,87
2004,1926,rzecz,82
2005,Wilno,rzecz,50
2006,marzec,rzecz,534
2007,wyznaczyć,czas,74
2008,dywizyjny,przym,10
2009,dywizja,rzecz,246
2010,luty,rzecz,469
2011,1929,rzecz,102
2012,przenieść,czas,224
2013,komenda,rzecz,42
2014,warowny,przym,4
2015,zachowanie,rzecz,81
2016,dodatek,rzecz,137
2017,służbowy,przym,24
2018,zastąpić,czas,201
2019,gen,rzecz,178
2020,bryg,rzecz,13
2021,krok,rzecz,34
2022,Paszkowski,rzecz,12
2023,1931,rzecz,90
2024,1932,rzecz,123
2025,słuchacz,rzecz,23
2026,VI,rzecz,98
2027,kurs,rzecz,104
2028,OWar,?,2
2029,garnizon,rzecz,50
2030,1935,rzecz,137
2031,Jarosław,rzecz,69
2032,starszeństwo,rzecz,67
2033,korpus,rzecz,223
2034,zemrzeć,czas,172
2035,pochować,czas,109
2036,cmentarz,rzecz,128
2037,powązka,rzecz,10
2038,żonaty,rzecz,36
2039,Felicja,rzecz,6
2040,Suchorzewską,?,1
2041,1893,rzecz,20
2042,córka,rzecz,146
2043,Witold,rzecz,76
2044,1857,rzecz,5
2045,1936,rzecz,122
2046,Stefania,rzecz,5
2047,Gołębiowska,rzecz,2
2048,1868,rzecz,22
2049,1937,rzecz,118
2050,Leon,rzecz,56
2051,Suchorzewskiego,?,1
2052,1894,rzecz,38
2053,1970,rzecz,132
2054,Zofia,rzecz,33
2055,1892,rzecz,37
2056,1988,rzecz,260
2057,Stefan,rzecz,86
2058,dąb,rzecz,24
2059,Biernacki,rzecz,3
2060,Andrzej,rzecz,129
2061,Barbara,rzecz,15
2062,post_scriptum,?,22
2063,ojciec,rzecz,259
2064,okupacja,rzecz,44
2065,konspiracja,rzecz,10
2066,żołnierz,rzecz,286
2067,krajowy,przym,118
2068,plutonowy,rzecz,3
2069,podchorąży,rzecz,4
2070,AK,rzecz,66
2071,Zośka,rzecz,2
2072,zośka,rzecz,2
2073,polec,czas,6
2074,1944,rzecz,304
2075,Mokotów,rzecz,4
2076,awans,rzecz,61
2077,chorąży,rzecz,17
2078,1915,rzecz,97
2079,podporucznik,rzecz,46
2080,1916,rzecz,99
2081,kapitan,rzecz,160
2082,200,rzecz,142
2083,lokata,rzecz,69
2084,odznaczenie,rzecz,90
2085,Virtuti,?,53
2086,Militari,?,53
2087,1921,rzecz,127
2088,komandorski,przym,22
2089,pośmiertnie,przys,35
2090,7,rzecz,910
2091,niepodległość,rzecz,65
2092,oficerski,przym,85
2093,11,rzecz,518
2094,waleczny,rzecz,41
2095,czterokrotnie,przys,39
2096,pamiątkowy,przym,41
2097,obrońca,rzecz,56
2098,dziesięciolecie,rzecz,11
2099,odzyskać,czas,43
2100,lista,rzecz,148
2101,oddanie,rzecz,25
2102,wojsko,rzecz,223
